ticker,close_s
000001,199.482
000002,161.456
000004,19.704
000005,11.075
000006,58.875
000007,19.049
000008,13.869
000009,9.422
000010,7.756
000011,11.585
000012,38.532
000014,22.921
000016,19.064
000017,4.544
000018,6.926
000019,10.5
000020,4.976
000021,53.483
000022,33.504
000023,9.484
000024,34.965
000025,5.802
000026,18.311
000027,37.532
000028,12.877
000029,8.173
000030,2.251
000031,23.488
000032,11.587
000033,4.538
000034,3.422
000035,2.813
000036,7.93
000037,25.285
000038,9.26
000039,134.564
000040,9.246
000042,33.651
000043,12.919
000045,11.309
000046,28.099
000048,11.926
000049,21.037
000050,20.245
000055,10.18
000056,6.812
000058,10.729
000059,5.878
000060,45.639
000061,30.079
000062,16.124
000063,114.243
000065,20.488
000066,27.646
000068,5.948
000069,85.006
000070,4.483
000078,11.307
000088,25.903
000089,22.907
000090,6.538
000096,8.0
000099,12.233
000100,2.43
000150,3.993
000151,6.357
000153,13.39
000155,6.119
000156,1.732
000157,26.724
000158,4.49
000159,4.3
000301,3.219
000400,18.488
000401,12.849
000402,80.627
000403,7.461
000404,4.251
000406,54.643
000407,11.667
000408,7.589
000409,3.297
000410,13.038
000411,4.939
000413,3.235
000415,15.401
000416,17.485
000417,13.088
000418,4.928
000419,14.918
000420,6.47
000421,10.866
000422,20.533
000423,31.985
000425,21.649
000426,16.183
000428,10.506
000429,8.927
000430,8.445
000488,16.656
000498,4.18
000501,14.137
000502,11.779
000503,56.741
000504,11.216
000505,6.514
000506,2.907
000507,7.495
000509,5.563
000510,21.98
000511,14.364
000513,11.751
000514,9.555
000515,8.452
000516,16.814
000517,8.162
000518,11.655
000519,16.954
000520,13.78
000521,7.973
000522,11.334
000523,9.771
000524,11.014
000525,20.909
000526,8.791
000527,48.092
000528,16.5
000529,3.792
000530,13.22
000531,20.708
000532,9.488
000533,4.159
000534,7.642
000536,3.069
000537,11.198
000538,100.632
000539,44.095
000540,10.923
000541,45.743
000543,6.793
000544,5.629
000545,3.023
000546,3.687
000547,7.004
000548,4.324
000549,43.054
000550,9.503
000551,14.85
000552,5.221
000553,4.659
000554,16.984
000555,3.195
000557,9.616
000558,4.935
000559,29.372
000560,4.037
000561,4.527
000562,13.36
000563,13.476
000564,7.778
000565,9.065
000566,6.286
000567,7.904
000568,72.468
000569,2.789
000570,7.306
000571,17.991
000572,12.738
000573,12.437
000576,12.227
000578,15.817
000581,13.6
000582,12.269
000583,1.12
000584,8.172
000585,2.516
000586,11.129
000587,4.23
000589,10.047
000590,10.475
000591,9.187
000592,2.365
000593,11.427
000594,35.004
000595,4.966
000596,5.154
000597,5.304
000598,18.287
000599,11.861
000600,18.36
000601,22.381
000602,24.809
000603,5.719
000605,8.712
000606,12.061
000607,10.073
000608,30.503
000609,11.206
000610,8.426
000611,8.404
000612,17.556
000613,1.947
000615,10.571
000616,22.528
000617,29.842
000619,43.054
000620,2.444
000622,4.853
000623,34.962
000625,9.489
000626,24.016
000627,29.535
000628,7.953
000629,7.626
000630,25.07
000631,5.855
000632,11.123
000633,14.881
000635,16.063
000636,38.517
000637,39.403
000638,6.166
000639,21.185
000650,5.806
000651,112.446
000652,43.504
000655,15.408
000656,2.921
000657,9.286
000659,25.193
000661,9.105
000662,24.495
000663,9.561
000665,8.768
000666,3.705
000667,15.028
000668,20.338
000669,6.678
000670,9.265
000671,10.101
000672,6.376
000673,10.692
000676,35.767
000677,26.393
000678,6.644
000679,9.389
000680,6.067
000681,11.279
000682,28.584
000683,7.654
000685,12.748
000686,11.199
000687,3.456
000688,8.73
000690,36.412
000691,4.095
000692,13.011
000693,9.304
000695,7.628
000697,9.237
000698,8.852
000699,1.18
000700,15.715
000701,5.921
000702,6.861
000703,4.015
000705,7.614
000707,8.129
000708,5.915
000709,13.469
000710,5.93
000711,8.393
000712,9.694
000713,8.154
000715,12.5
000716,3.884
000717,12.593
000718,4.633
000719,6.277
000720,13.426
000721,6.047
000722,10.852
000723,6.412
000725,12.681
000726,16.515
000727,7.518
000728,3.677
000729,21.824
000731,29.488
000732,3.572
000733,6.716
000735,7.15
000736,3.102
000737,7.805
000738,3.424
000739,11.225
000748,5.979
000750,5.889
000751,7.253
000752,13.356
000753,9.101
000755,10.516
000756,3.344
000757,5.816
000758,26.068
000759,12.182
000760,5.302
000761,5.792
000762,17.227
000766,6.463
000767,31.131
000768,13.237
000776,5.957
000777,13.01
000778,19.676
000779,4.482
000780,6.717
000782,5.766
000783,6.394
000785,16.119
000786,17.259
000787,8.801
000788,3.916
000789,4.785
000790,12.968
000791,3.618
000792,53.12
000793,35.822
000795,5.263
000796,8.049
000797,4.846
000798,3.756
000799,5.599
000800,5.701
000801,10.689
000802,4.655
000803,19.89
000805,2.527
000806,18.835
000807,10.418
000809,4.369
000810,10.298
000811,14.357
000812,8.525
000813,4.527
000815,7.484
000816,4.988
000818,3.638
000819,18.687
000820,3.946
000821,5.341
000822,7.476
000823,8.322
000825,10.368
000826,7.786
000828,9.149
000829,18.406
000830,12.802
000831,6.624
000833,5.665
000835,12.954
000836,4.555
000837,10.94
000838,10.036
000839,42.238
000848,14.971
000850,9.973
000851,8.125
000852,12.205
000856,2.648
000858,71.466
000859,5.372
000860,7.838
000861,8.875
000862,4.94
000863,4.941
000866,15.583
000868,4.463
000869,48.104
000875,2.827
000876,17.652
000877,6.051
000878,12.903
000880,7.384
000881,11.614
000882,5.371
000883,4.337
000885,2.64
000886,5.15
000887,3.616
000888,12.055
000889,6.121
000890,7.217
000892,8.281
000893,3.15
000895,52.628
000897,10.058
000898,8.074
000899,6.227
000900,16.855
000901,9.175
000902,2.855
000903,6.536
000905,8.174
000906,5.76
000908,5.154
000909,5.384
000910,7.191
000911,9.432
000912,11.399
000913,6.229
000915,5.954
000916,4.504
000917,13.094
000918,3.49
000919,10.196
000920,10.443
000921,2.751
000922,4.353
000923,3.14
000925,4.596
000926,11.285
000927,5.822
000928,3.304
000929,5.729
000930,22.58
000931,2.677
000932,7.212
000933,25.559
000935,6.792
000936,10.26
000937,12.604
000938,19.936
000939,19.808
000948,5.373
000949,5.371
000950,4.506
000951,10.317
000952,3.827
000953,5.859
000955,3.309
000956,16.36
000957,4.874
000958,4.802
000959,4.991
000960,12.452
000961,3.075
000962,12.489
000963,10.361
000965,2.776
000966,4.211
000967,4.259
000968,6.275
000969,17.354
000970,53.692
000971,3.471
000972,7.54
000973,4.47
000975,7.283
000976,4.112
000977,7.176
000978,9.695
000979,2.875
000980,3.176
000981,4.835
000982,5.497
000983,13.68
000985,7.412
000987,7.965
000988,20.852
000989,8.922
000990,10.501
000993,3.619
000995,4.29
000996,4.972
000997,34.001
000998,11.336
000999,5.208
001696,16.527
001896,2.973
002001,18.705
002002,8.172
002003,11.85
002004,13.35
002005,10.236
002006,8.211
002007,22.119
002008,25.326
002009,11.346
002010,19.491
002011,8.502
002012,11.64
002013,8.792
002014,9.862
002015,11.214
002016,8.27
002017,10.008
002018,9.743
002019,16.859
002020,11.278
002021,14.125
002022,24.439
002023,17.649
002024,106.802
002025,41.205
002026,8.589
002027,17.286
002028,35.785
002029,9.877
002030,11.426
002031,10.699
002032,12.163
002033,10.646
002034,10.269
002035,10.02
002036,8.341
002037,7.499
002038,14.605
002039,7.88
002040,10.214
002041,27.988
002042,4.498
002043,6.442
002044,5.461
002045,12.579
002046,16.276
002047,7.83
002048,14.432
002049,10.908
002050,9.139
200002,71.708
200011,5.413
200012,13.225
200016,5.388
200017,1.689
200018,1.95
200019,4.612
200020,1.415
200022,32.592
200024,20.498
200025,1.97
200026,4.881
200028,6.278
200029,2.964
200030,0.781
200037,21.784
200039,131.305
200041,1.35
200045,4.635
200053,9.925
200054,1.745
200055,4.678
200056,2.281
200058,2.742
200152,1.695
200160,2.978
200168,2.718
200413,1.323
200418,3.238
200429,9.764
200468,2.129
200488,19.156
200505,1.104
200512,10.75
200513,5.355
200521,1.913
200530,3.867
200539,17.65
200541,26.35
200550,5.001
200553,2.0
200570,1.85
200581,13.717
200596,3.001
200613,0.77
200625,5.717
200706,3.447
200725,6.148
200726,20.301
200761,4.576
200770,2.481
200771,12.816
200869,35.483
200986,2.424
200992,0.764
600000,19.317
600001,8.09
600002,11.091
600003,2.913
600004,7.996
600005,11.029
600006,6.907
600007,6.284
600008,13.494
600009,33.774
600010,6.957
600011,13.028
600012,6.109
600015,7.846
600016,25.987
600019,6.383
600020,6.993
600021,5.659
600022,6.049
600026,8.02
600027,2.832
600028,5.886
600029,2.65
600030,8.842
600031,17.457
600033,10.572
600035,3.675
600036,15.932
600037,35.082
600038,16.067
600039,3.157
600050,2.906
600051,11.087
600052,9.163
600053,4.148
600054,12.194
600055,17.036
600056,13.575
600057,15.203
600058,18.013
600059,16.371
600060,11.797
600061,10.508
600062,15.846
600063,7.457
600064,15.414
600065,2.047
600066,29.842
600067,32.426
600068,4.765
600069,10.419
600070,7.378
600071,14.564
600072,7.9
600073,9.813
600074,10.208
