ticker,close_s
000001,808.905
000002,710.723
000004,72.41
000005,25.114
000006,258.648
000007,108.456
000008,58.712
000009,52.854
000010,74.219
000011,29.107
000012,163.027
000014,94.677
000016,38.631
000017,13.54
000018,19.073
000019,21.624
000020,12.841
000021,87.526
000022,49.96
000023,20.35
000024,113.906
000025,12.829
000026,56.228
000027,45.921
000028,160.412
000029,7.635
000030,13.969
000031,53.117
000032,34.745
000033,8.265
000034,13.005
000035,23.556
000036,16.867
000037,23.806
000038,27.262
000039,297.473
000040,20.154
000042,160.135
000043,45.986
000045,23.242
000046,139.843
000048,50.028
000049,202.502
000050,105.347
000055,33.648
000056,53.672
000058,23.935
000059,7.216
000060,164.721
000061,156.074
000062,51.676
000063,229.744
000065,56.551
000066,48.554
000068,14.34
000069,220.978
000070,16.151
000078,56.971
000088,32.146
000089,27.869
000090,20.972
000096,12.285
000099,28.357
000100,6.144
000150,10.315
000151,18.107
000153,43.043
000155,5.924
000156,47.514
000157,329.551
000158,10.409
000159,24.832
000301,6.088
000333,43.24
000338,78.462
000400,163.651
000401,31.729
000402,156.163
000403,69.883
000404,18.763
000407,63.657
000408,38.922
000409,28.185
000410,16.465
000411,27.498
000413,24.597
000415,86.759
000416,63.988
000417,103.282
000418,21.656
000419,100.851
000420,11.5
000421,35.607
000422,95.267
000423,368.351
000425,114.391
000426,67.432
000428,119.852
000429,8.413
000430,33.862
000488,20.978
000498,12.194
000501,61.503
000502,24.715
000503,195.311
000504,24.567
000505,17.907
000506,15.526
000507,22.711
000509,49.131
000510,69.182
000511,69.726
000513,119.511
000514,19.57
000516,84.782
000517,20.953
000518,29.539
000519,71.364
000520,17.703
000521,17.231
000523,42.849
000524,28.116
000525,117.31
000526,54.915
000528,52.756
000529,20.082
000530,34.894
000531,60.057
000532,70.889
000533,8.475
000534,18.742
000536,60.647
000537,47.829
000538,1327.836
000539,61.078
000540,129.47
000541,111.304
000543,16.614
000544,23.829
000545,18.746
000546,9.995
000547,46.798
000548,24.189
000550,37.107
000551,59.348
000552,31.281
000553,46.689
000554,24.076
000555,44.576
000557,55.368
000558,14.713
000559,114.402
000560,14.234
000561,14.071
000562,72.283
000563,76.222
000564,17.424
000565,22.904
000566,52.993
000567,27.987
000568,576.03
000570,29.122
000571,40.589
000572,21.015
000573,31.449
000576,55.7
000581,92.446
000582,36.651
000584,28.183
000585,3.056
000586,23.704
000587,77.752
000589,26.568
000590,57.171
000591,58.66
000592,16.379
000593,34.235
000594,27.225
000595,13.673
000596,57.67
000597,14.837
000598,135.022
000599,21.796
000600,24.001
000601,32.058
000603,58.109
000605,40.709
000606,71.031
000607,15.886
000608,61.136
000609,50.492
000610,22.811
000611,21.99
000612,48.259
000613,8.923
000615,32.558
000616,108.331
000617,33.727
000619,60.256
000620,14.389
000622,37.379
000623,265.243
000625,68.179
000626,37.539
000627,76.52
000628,19.055
000629,13.158
000630,64.892
000631,41.822
000632,33.136
000633,46.641
000635,32.834
000636,100.241
000637,65.561
000638,24.885
000639,38.866
000650,111.031
000651,1736.259
000652,98.857
000655,45.173
000656,20.462
000657,36.322
000659,44.318
000661,368.631
000662,37.753
000663,41.947
000665,57.5
000666,11.783
000667,47.473
000668,34.549
000669,49.835
000670,56.847
000671,140.364
000672,30.828
000673,72.427
000676,35.282
000677,69.773
000678,16.645
000679,30.716
000680,18.633
000681,87.068
000682,46.671
000683,17.341
000685,75.851
000686,92.851
000687,13.441
000688,30.802
000690,184.06
000691,16.474
000692,43.959
000693,13.341
000695,17.088
000697,41.236
000698,12.458
000700,59.619
000701,19.751
000702,11.79
000703,38.754
000705,40.241
000707,12.586
000708,10.481
000709,18.665
000710,29.729
000711,29.205
000712,132.462
000713,31.416
000715,32.874
000716,20.942
000717,8.625
000718,30.59
000719,54.58
000720,19.462
000721,14.015
000722,27.114
000723,24.767
000725,9.896
000726,51.306
000727,13.875
000728,13.599
000729,51.481
000731,109.622
000732,26.076
000733,17.678
000735,48.028
000736,12.632
000737,22.288
000738,19.252
000739,68.416
000748,39.946
000750,80.749
000751,13.424
000752,59.222
000753,25.732
000755,11.352
000756,6.985
000757,27.666
000758,110.809
000759,43.837
000760,79.657
000761,5.237
000762,65.541
000766,18.05
000767,33.131
000768,78.88
000776,57.328
000777,59.918
000778,42.635
000779,23.445
000780,24.887
000782,13.478
000783,23.514
000785,40.924
000786,84.632
000788,50.99
000789,23.948
000790,79.369
000791,14.78
000792,97.14
000793,168.526
000795,20.305
000796,20.3
000797,16.159
000798,15.704
000799,33.773
000800,31.998
000801,74.47
000802,20.889
000803,24.459
000806,24.831
000807,28.244
000809,17.962
000810,38.573
000811,75.055
000812,20.005
000813,22.612
000815,17.858
000816,34.303
000818,5.954
000819,102.759
000820,20.095
000821,9.027
000822,7.34
000823,23.411
000825,17.561
000826,151.768
000828,15.045
000829,155.523
000830,22.813
000831,107.692
000833,11.068
000835,39.4
000836,18.301
000837,27.591
000838,23.141
000839,75.151
000848,226.811
000850,39.007
000851,19.414
000852,50.175
000856,11.018
000858,280.938
000859,10.541
000860,29.294
000861,52.95
000862,20.518
000863,32.279
000868,24.388
000869,132.291
000875,3.929
000876,90.383
000877,42.403
000878,28.697
000880,26.657
000881,34.157
000882,7.716
000883,12.486
000885,11.552
000886,13.02
000887,161.012
000888,49.111
000889,20.248
000890,14.812
000892,14.723
000893,23.661
000895,464.006
000897,15.229
000898,6.167
000899,15.536
000900,38.397
000901,38.073
000902,13.028
000903,25.317
000905,15.396
000906,15.622
000908,19.686
000909,13.629
000910,12.096
000911,12.462
000912,11.278
000913,12.394
000915,85.648
000916,7.866
000917,145.83
000918,7.17
000919,27.44
000920,31.822
000921,9.65
000922,14.664
000923,9.095
000925,27.068
000926,21.986
000927,5.895
000928,10.774
000929,19.155
000930,23.129
000931,7.337
000932,2.625
000933,66.147
000935,13.316
000936,24.46
000937,47.918
000938,67.604
000939,50.641
000948,15.869
000949,13.615
000950,9.682
000951,19.166
000952,16.237
000953,13.402
000955,8.931
000957,15.997
000958,10.71
000959,4.745
000960,45.305
000961,19.191
000962,37.139
000963,139.41
000965,12.291
000966,8.727
000967,15.28
000968,14.931
000969,54.998
000970,215.565
000971,10.888
000972,12.382
000973,15.332
000975,38.68
000976,12.568
000977,70.226
000978,19.558
000979,25.897
000980,10.949
000981,10.736
000982,79.325
000983,50.999
000985,16.511
000987,24.134
000988,63.403
000989,44.219
000990,28.698
000993,13.472
000995,13.869
000996,48.018
000997,91.953
000998,120.933
000999,46.189
001696,106.283
001896,6.742
002001,208.765
002002,29.352
002003,40.244
002004,117.38
002005,82.355
002006,64.717
002007,348.279
002008,127.983
002009,62.444
002010,74.995
002011,56.975
002012,28.801
002013,92.241
002014,41.711
002015,32.28
002016,41.633
002017,56.637
002018,59.547
002019,97.862
002020,65.598
002021,52.301
002022,196.614
002023,76.855
002024,1088.093
002025,58.985
002026,21.175
002027,27.511
002028,171.674
002029,81.998
002030,90.061
002031,30.253
002032,70.457
002033,33.327
002034,23.642
002035,56.598
002036,27.444
002037,45.731
002038,502.808
002039,15.869
002040,11.666
002041,143.447
002042,19.605
002043,15.455
002044,17.463
002045,36.736
002046,29.599
002047,21.109
002048,50.176
002049,85.891
002050,38.145
002051,64.101
002052,82.781
002053,7.352
002054,16.902
002055,64.114
002056,33.499
002057,17.228
002058,17.058
002059,8.89
002060,7.687
002061,9.768
002062,20.949
002063,77.377
002064,55.608
002065,218.781
002066,14.882
002067,5.889
002068,21.102
002069,83.1
002070,28.643
002071,41.841
002072,8.239
002073,79.005
002074,25.333
002075,8.071
002076,13.747
002077,8.64
002078,19.44
002079,30.257
002080,31.258
002081,259.211
002082,18.328
002083,8.0
002084,10.85
002085,21.218
002086,17.684
002087,6.131
002088,17.224
002089,47.515
002090,30.053
002091,44.587
002092,17.805
002093,70.582
002094,24.708
002095,106.764
002096,65.746
002097,20.81
002098,9.852
002099,19.05
002100,44.147
002101,18.145
002102,17.0
002103,9.373
002104,62.646
002105,5.812
002106,48.864
002107,26.36
002108,34.954
002109,12.833
002110,5.086
002111,27.619
002112,13.752
002113,15.842
002114,16.118
002115,36.081
002116,24.252
