ticker,close_s
000001,593.764
000002,614.856
000004,45.164
000005,28.381
000006,209.142
000007,129.161
000008,34.366
000009,39.166
000010,50.844
000011,20.31
000012,135.156
000014,73.114
000016,35.609
000017,10.599
000018,11.051
000019,21.122
000020,11.909
000021,70.547
000022,31.075
000023,15.497
000024,90.679
000025,10.889
000026,64.506
000027,51.721
000028,123.919
000029,7.055
000030,16.067
000031,51.597
000032,18.451
000033,8.61
000034,12.233
000035,28.07
000036,17.486
000037,25.574
000038,18.656
000039,223.765
000040,17.543
000042,101.84
000043,28.318
000045,20.49
000046,101.565
000048,39.295
000049,126.891
000050,64.994
000055,22.283
000056,25.665
000058,18.22
000059,9.331
000060,176.661
000061,114.646
000062,27.332
000063,137.293
000065,46.023
000066,38.528
000068,8.96
000069,206.677
000070,9.971
000078,44.599
000088,29.057
000089,26.115
000090,16.232
000096,10.168
000099,28.166
000100,4.916
000150,7.512
000151,14.655
000153,35.652
000155,5.72
000156,1.259
000157,457.017
000158,7.4
000159,21.83
000301,5.345
000338,68.123
000400,66.986
000401,43.712
000402,162.496
000403,13.778
000404,14.298
000407,63.434
000408,55.351
000409,12.129
000410,17.513
000411,18.729
000413,16.175
000415,66.123
000416,46.063
000417,113.087
000418,18.569
000419,64.254
000420,9.994
000421,37.257
000422,159.072
000423,310.484
000425,145.789
000426,92.53
000428,57.34
000429,9.07
000430,43.288
000488,17.618
000498,9.755
000501,56.891
000502,18.82
000503,63.211
000504,17.898
000505,13.721
000506,18.444
000507,21.799
000509,28.209
000510,59.861
000511,60.473
000513,73.28
000514,19.731
000516,85.166
000517,24.745
000518,32.057
000519,58.399
000520,14.162
000521,16.021
000522,81.037
000523,26.037
000524,31.927
000525,84.054
000526,19.686
000527,398.803
000528,64.894
000529,24.893
000530,23.756
000531,61.641
000532,36.21
000533,7.889
000534,18.378
000536,34.246
000537,32.385
000538,655.524
000539,72.168
000540,117.318
000541,122.165
000543,13.976
000544,19.993
000545,11.197
000546,10.852
000547,40.506
000548,14.927
000550,31.405
000551,39.389
000552,22.417
000553,24.086
000554,32.41
000555,9.397
000557,55.368
000558,15.862
000559,78.722
000560,10.972
000561,15.833
000562,66.514
000563,51.715
000564,17.743
000565,20.75
000566,44.887
000567,20.278
000568,899.864
000570,25.521
000571,50.11
000572,12.627
000573,26.739
000576,39.015
000581,66.223
000582,31.85
000584,17.794
000585,2.353
000586,17.651
000587,87.865
000589,25.605
000590,58.043
000591,39.494
000592,13.909
000593,30.389
000594,27.355
000595,14.698
000596,110.511
000597,13.09
000598,85.71
000599,17.944
000600,25.034
000601,30.988
000602,88.734
000603,77.934
000605,29.43
000606,39.202
000607,17.082
000608,55.121
000609,33.822
000610,21.396
000611,18.794
000612,51.889
000613,4.819
000615,22.927
000616,78.149
000617,40.557
000619,71.209
000620,14.232
000622,2.938
000623,223.017
000625,31.531
000626,38.698
000627,80.459
000628,19.804
000629,20.566
000630,92.652
000631,32.123
000632,24.29
000633,42.829
000635,32.576
000636,120.124
000637,56.019
000638,12.354
000639,32.689
000650,115.858
000651,1287.519
000652,90.597
000655,52.254
000656,16.418
000657,30.243
000659,46.534
000661,171.071
000662,20.121
000663,32.417
000665,46.649
000666,12.686
000667,47.304
000668,28.632
000669,44.037
000670,16.95
000671,57.337
000672,29.633
000673,22.626
000676,25.303
000677,53.983
000678,14.508
000679,27.519
000680,23.489
000681,16.685
000682,47.915
000683,21.111
000685,64.592
000686,91.009
000687,15.186
000688,14.931
000690,139.98
000691,18.677
000692,27.009
000693,13.341
000695,20.895
000697,59.487
000698,13.548
000700,37.823
000701,14.173
000702,11.468
000703,60.197
000705,36.985
000707,18.719
000708,14.016
000709,23.547
000710,27.21
000711,28.029
000712,85.05
000713,36.441
000715,18.967
000716,17.589
000717,10.094
000718,29.96
000719,46.045
000720,14.762
000721,13.889
000722,35.88
000723,18.541
000725,8.355
000726,37.409
000727,13.67
000728,14.888
000729,47.401
000731,71.692
000732,14.457
000733,14.034
000735,32.82
000736,15.945
000737,17.807
000738,15.033
000739,39.173
000748,18.625
000750,61.437
000751,8.165
000752,69.396
000753,25.127
000755,15.191
000756,7.056
000757,19.285
000758,138.8
000759,42.283
000760,24.934
000761,6.497
000762,78.693
000766,17.045
000767,36.063
000768,57.254
000776,49.465
000777,70.572
000778,48.237
000779,22.198
000780,43.835
000782,12.035
000783,19.672
000785,39.372
000786,60.275
000787,20.539
000788,24.187
000789,24.744
000790,54.234
000791,16.543
000792,157.66
000793,78.89
000795,24.667
000796,24.536
000797,8.814
000798,15.371
000799,99.383
000800,18.422
000801,43.755
000802,14.588
000803,24.609
000805,2.737
000806,20.834
000807,34.026
000809,17.543
000810,20.234
000811,63.161
000812,18.898
