ticker,close_s
000001,210.855
000002,209.105
000004,21.387
000005,27.462
000006,91.532
000007,21.028
000008,13.471
000009,12.53
000010,9.937
000011,11.963
000012,79.705
000014,41.093
000016,23.505
000017,5.376
000018,8.976
000019,14.125
000020,6.055
000021,68.363
000022,37.725
000023,12.125
000024,43.207
000025,7.291
000026,24.442
000027,42.347
000028,25.375
000029,10.238
000030,2.559
000031,45.107
000032,12.382
000033,6.742
000034,3.517
000035,2.533
000036,17.177
000037,23.45
000038,7.626
000039,208.057
000040,12.917
000042,46.089
000043,22.461
000045,15.075
000046,66.9
000048,14.132
000049,20.197
000050,35.687
000055,16.112
000056,7.592
000058,15.527
000059,5.969
000060,90.951
000061,74.7
000062,28.162
000063,112.521
000065,18.951
000066,25.401
000068,7.489
000069,105.63
000070,5.813
000078,17.324
000088,29.055
000089,29.968
000090,13.537
000096,9.482
000099,14.517
000100,2.908
000150,6.54
000151,8.502
000153,15.513
000155,6.91
000156,1.259
000157,51.946
000158,4.983
000159,5.329
000301,4.454
000400,37.588
000401,15.601
000402,104.595
000403,6.535
000404,5.807
000407,24.409
000408,8.342
000409,5.413
000410,24.028
000411,5.775
000413,4.96
000415,21.941
000416,22.014
000417,21.416
000418,5.736
000419,27.361
000420,8.146
000421,23.657
000422,43.202
000423,70.036
000425,27.398
000426,20.777
000428,29.362
000429,9.918
000430,12.315
000488,17.188
000498,5.36
000501,30.209
000502,13.172
000503,63.259
000504,13.502
000505,11.451
000506,3.761
000507,10.118
000509,6.259
000510,27.48
000511,22.886
000513,15.26
000514,14.121
000515,20.018
000516,25.361
000517,7.255
000518,16.162
000519,23.087
000520,20.602
000521,8.837
000522,14.976
000523,10.121
000524,15.366
000525,48.215
000526,11.915
000527,77.375
000528,29.682
000529,2.661
000530,18.038
000531,28.363
000532,11.432
000533,7.374
000534,13.996
000536,4.206
000537,27.117
000538,153.155
000539,45.032
000540,18.839
000541,48.361
000543,7.914
000544,6.726
000545,4.154
000546,4.989
000547,16.882
000548,9.982
000549,62.599
000550,18.223
000551,21.847
000552,7.28
000553,7.974
000554,24.628
000555,5.172
000557,13.684
000558,6.822
000559,44.278
000560,4.887
000561,4.597
000562,30.999
000563,17.737
000564,11.218
000565,14.232
000566,7.743
000567,13.702
000568,185.199
000569,5.828
000570,11.537
000571,28.033
000572,14.363
000573,18.229
000576,21.891
000578,16.169
000581,12.399
000582,13.78
000584,9.353
000585,4.181
000586,13.121
000587,4.853
000589,12.73
000590,13.828
000591,14.259
000592,1.308
000593,19.322
000594,38.245
000595,8.349
000596,7.873
000597,7.744
000598,24.422
000599,13.139
000600,20.867
000601,27.104
000602,33.664
000603,9.766
000605,8.962
000606,15.636
000607,12.297
000608,36.117
000609,17.801
000610,11.581
000611,13.026
000612,29.468
000613,2.222
000615,14.0
000616,43.629
000617,41.359
000619,51.742
000620,2.383
000622,2.938
000623,81.659
000625,12.385
000626,22.923
000627,45.277
000628,15.868
000629,9.908
000630,31.601
000631,3.476
000632,17.849
000633,17.395
000635,20.583
000636,55.727
000637,64.519
000638,6.166
000639,10.861
000650,5.487
000651,141.277
000652,115.929
000655,19.639
000656,6.794
000657,27.785
000659,27.159
000661,16.268
000662,24.21
000663,14.471
000665,14.193
000666,4.562
000667,27.734
000668,22.97
000669,6.829
000670,8.978
000671,12.729
000672,7.155
000673,11.378
000676,36.225
000677,27.032
000678,12.484
000679,12.697
000680,13.986
000681,14.612
000682,40.853
000683,12.306
000685,21.229
000686,22.541
000687,4.067
000688,5.965
000690,76.497
000691,6.95
000692,16.205
000693,6.553
000695,21.266
000697,13.253
000698,13.022
000700,22.798
000701,7.631
000702,7.735
000703,5.31
000705,12.122
000707,12.714
000708,8.825
000709,19.183
000710,10.644
000711,10.632
000712,12.893
000713,12.008
000715,24.566
000716,6.096
000717,13.671
000718,9.003
000719,7.939
000720,18.508
000721,8.093
000722,12.354
000723,9.982
000725,12.564
000726,17.918
000727,9.631
000728,6.715
000729,28.946
000731,46.192
000732,2.928
000733,11.302
000735,11.601
000736,7.903
000737,10.471
000738,7.096
000739,13.792
000748,10.203
000750,6.582
000751,18.649
000752,18.593
000753,13.18
000755,15.453
000756,4.43
000757,4.95
000758,41.93
000759,23.185
000760,17.1
000761,6.759
000762,30.909
000766,9.109
000767,44.326
000768,33.529
000776,17.719
000777,22.392
000778,22.347
000779,4.857
000780,11.649
000782,8.025
000783,8.735
000785,26.16
000786,21.267
000787,6.745
000788,7.265
000789,5.782
000790,26.619
000791,6.2
000792,90.105
000793,76.277
000795,5.979
000796,10.39
000797,6.847
000798,5.905
000799,11.266
000800,6.971
000801,19.49
000802,11.814
000803,10.427
000805,1.893
000806,19.017
000807,15.787
000809,5.404
000810,14.151
000811,29.128
000812,12.164
000813,6.749
000815,12.486
000816,13.114
000818,4.67
000819,37.559
000820,5.024
000821,6.558
000822,9.256
000823,11.174
000825,16.112
000826,10.229
000828,8.497
000829,37.958
000830,18.831
000831,12.417
000833,7.559
000835,18.176
000836,6.952
000837,15.448
000838,10.725
000839,77.311
000848,26.509
000850,18.589
000851,8.163
000852,22.399
000856,4.103
000858,137.362
000859,7.775
000860,12.125
000861,15.795
000862,7.076
000863,5.156
000868,7.125
000869,93.254
000875,3.915
000876,26.755
000877,9.228
000878,31.604
000880,8.697
000881,13.872
000882,11.803
000883,6.069
000885,3.08
000886,6.506
000887,6.969
000888,20.109
000889,8.565
000890,10.421
000892,6.317
000893,5.431
000895,94.934
000897,22.058
000898,9.101
000899,8.8
000900,19.553
000901,13.212
000902,4.005
000903,11.661
000905,11.822
000906,9.081
000908,7.216
000909,5.812
000910,14.371
000911,17.025
000912,18.256
000913,9.303
000915,8.439
000916,5.215
000917,23.65
000918,4.766
000919,12.796
000920,10.498
000921,2.488
000922,5.429
000923,4.361
000925,4.657
000926,12.17
000927,6.167
000928,6.56
000929,8.383
000930,24.249
000931,5.498
000932,4.978
000933,27.727
000935,9.236
000936,13.714
000937,12.289
000938,20.59
000939,20.959
000948,7.328
000949,8.63
000950,7.166
000951,14.886
000952,7.021
000953,6.92
000955,5.223
000957,6.144
000958,6.04
000959,5.623
000960,12.707
000961,4.812
000962,25.28
000963,15.658
000965,6.102
000966,5.72
000967,5.645
000968,5.806
000969,28.596
000970,69.983
000971,4.82
000972,15.225
000973,5.696
000975,10.56
000976,9.738
000977,7.863
000978,19.743
000979,3.725
000980,4.818
000981,5.351
000982,7.754
000983,15.295
000985,9.451
000987,15.974
000988,21.791
000989,11.815
000990,12.413
000993,5.076
000995,6.657
000996,6.622
000997,38.488
000998,14.59
000999,7.062
001696,30.288
001896,4.338
002001,23.691
002002,9.046
002003,17.538
002004,13.707
002005,12.807
002006,9.281
002007,45.902
002008,41.074
002009,24.815
002010,19.071
002011,9.19
002012,10.696
002013,13.285
002014,12.03
002015,18.337
002016,8.615
002017,12.254
002018,16.588
002019,16.204
002020,12.99
002021,20.762
002022,36.888
002023,23.118
002024,220.908
002025,47.361
002026,9.546
002027,21.302
002028,60.105
002029,19.139
002030,15.167
002031,18.462
002032,28.987
002033,17.01
002034,11.942
002035,11.336
002036,14.43
002037,11.699
002038,22.992
002039,8.922
002040,10.709
002041,30.05
002042,4.45
002043,7.579
002044,5.992
002045,18.875
002046,21.43
002047,8.204
002048,35.474
002049,14.793
002050,10.236
002051,15.3
002052,32.88
002053,13.63
002054,10.15
002055,15.92
002056,16.75
002057,10.95
002058,12.77
002059,7.76
002060,7.58
002061,13.21
002062,13.46
002063,15.46
002064,10.26
002065,27.1
002066,14.49
200002,89.009
200011,4.7
200012,19.491
200016,5.809
200017,1.501
200018,1.777
200019,4.711
200020,1.457
200022,31.338
200024,22.744
200025,2.23
200026,5.141
200028,9.944
200029,2.884
200030,0.71
200037,16.313
200039,194.393
200041,1.16
200045,4.528
200053,12.0
200054,1.929
200055,6.284
200056,2.624
200058,2.876
200152,1.24
200160,2.904
200168,2.603
200413,1.164
200418,3.401
200429,9.693
200468,1.837
200488,16.469
200505,1.702
200512,9.61
200513,5.807
200521,1.782
200530,4.177
200539,19.32
200541,26.538
200550,8.894
200553,2.398
200570,2.869
200581,11.517
200596,3.614
200613,0.682
200625,5.439
200706,3.552
200725,4.768
200726,21.151
200761,5.321
200770,2.917
200771,14.903
200869,51.891
200986,2.402
200992,0.795
600000,20.515
600001,8.963
600003,3.756
600004,8.142
600005,10.508
600006,7.928
600007,10.418
600008,13.626
600009,34.654
600010,6.161
600011,13.615
600012,7.174
600015,6.869
600016,30.001
600019,6.513
600020,7.445
600021,6.017
600022,7.035
600026,10.102
600027,3.018
600028,6.939
600029,2.4
600030,19.344
600031,36.559
600033,12.087
600035,4.464
600036,20.613
600037,41.672
