ticker,close_s
000001,1219.373
000002,1546.241
000004,55.744
000005,81.57
000006,307.126
000007,70.929
000008,30.517
000009,43.282
000010,36.248
000011,32.026
000012,215.183
000014,123.802
000016,53.892
000017,7.445
000018,15.708
000019,30.729
000020,14.004
000021,157.793
000022,96.044
000023,30.399
000024,237.349
000025,35.474
000026,79.537
000027,170.38
000028,62.159
000029,21.186
000030,4.083
000031,255.934
000032,30.608
000033,17.281
000034,19.442
000035,10.701
000036,45.856
000037,45.622
000038,18.656
000039,594.846
000040,42.15
000042,182.223
000043,71.185
000045,24.255
000046,394.2
000048,40.845
000049,42.555
000050,78.761
000055,27.827
000056,17.566
000058,38.702
000059,21.046
000060,392.79
000061,145.416
000062,63.254
000063,232.299
000065,76.308
000066,66.489
000068,13.427
000069,483.369
000070,16.83
000078,63.342
000088,71.119
000089,86.468
000090,40.047
000096,28.489
000099,36.068
000100,6.946
000150,27.282
000151,29.257
000153,45.667
000155,19.007
000156,1.259
000157,345.621
000158,21.84
000159,22.475
000301,23.404
000338,105.637
000400,62.227
000401,73.887
000402,455.22
000403,13.778
000404,21.779
000407,92.696
000408,30.849
000409,18.824
000410,75.823
000411,19.839
000413,12.829
000415,90.84
000416,128.846
000417,89.758
000418,29.375
000419,141.055
000420,32.447
000421,86.054
000422,176.428
000423,242.818
000425,117.472
000426,59.269
000428,133.379
000429,26.552
000430,44.316
000488,56.269
000498,20.797
000501,89.25
000502,63.734
000503,113.691
000504,42.914
000505,78.994
000506,8.067
000507,36.148
000509,26.546
000510,113.053
000511,107.95
000513,90.405
000514,51.296
000515,41.633
000516,59.629
000517,7.255
000518,53.708
000519,62.038
000520,75.251
000521,28.917
000522,47.533
000523,24.989
000524,42.239
000525,86.299
000526,22.677
000527,609.344
000528,140.678
000529,2.661
000530,47.482
000531,72.402
000532,45.009
000533,20.89
000534,58.873
000536,5.723
000537,94.461
000538,328.657
000539,185.82
000540,84.224
000541,191.776
000543,42.625
000544,23.787
000545,18.962
000546,22.745
000547,51.903
000548,59.345
000550,38.155
000551,55.989
000552,20.354
000553,50.594
000554,74.893
000555,12.891
000557,67.312
000558,23.705
000559,193.712
000560,29.232
000561,20.941
000562,170.968
000563,79.38
000564,29.182
000565,50.123
000566,18.675
000567,56.947
000568,832.324
000569,14.186
000570,47.466
000571,79.253
000572,93.87
000573,54.759
000576,40.081
000578,16.872
000581,50.267
000582,52.271
000584,51.226
000585,9.731
000586,36.239
000587,17.006
000589,30.604
000590,55.089
000591,40.595
000592,1.308
000593,40.758
000594,94.965
000595,23.396
000596,34.918
000597,35.155
000598,106.316
000599,35.224
000600,76.038
000601,63.965
000602,91.113
000603,27.056
000605,27.341
000606,43.598
000607,24.109
000608,147.087
000609,67.521
000610,26.917
000611,30.858
000612,243.117
000613,10.839
000615,42.564
000616,177.713
000617,182.476
000619,113.977
000620,2.383
000622,2.938
000623,712.904
000625,53.818
000626,43.91
000627,154.779
000628,50.885
000629,39.842
000630,151.176
000631,3.476
000632,68.989
000633,86.908
000635,65.141
000636,267.38
000637,139.281
000638,6.166
000639,20.658
000650,90.777
000651,666.685
000652,510.029
000655,86.242
000656,20.4
000657,81.87
000659,126.944
000661,57.29
000662,51.091
000663,53.129
000665,37.402
000666,16.586
000667,157.299
000668,66.441
000669,14.087
000670,16.95
000671,28.467
000672,29.633
000673,52.852
000676,71.989
000677,112.811
000678,32.653
000679,56.954
000680,64.515
000681,35.191
000682,106.876
000683,42.599
000685,110.361
000686,308.777
000687,21.278
000688,14.931
000690,317.26
000691,23.517
000692,64.511
000693,13.341
000695,30.245
000697,29.46
000698,38.304
000700,56.831
000701,16.208
000702,23.258
000703,26.947
000705,22.364
000707,32.892
000708,29.888
000709,116.357
000710,35.22
000711,41.134
000712,126.375
000713,25.628
000715,56.097
000716,14.581
000717,58.847
000718,80.441
000719,23.792
000720,63.014
000721,24.041
000722,31.844
000723,15.78
000725,30.535
000726,95.967
000727,25.467
000728,14.492
000729,70.044
000731,135.825
000732,5.789
000733,23.78
000735,41.897
000736,7.145
000737,34.693
000738,13.976
000739,50.692
000748,53.896
000750,7.448
000751,86.981
000752,42.893
000753,36.011
000755,69.912
000756,11.451
000757,16.071
000758,210.123
000759,64.419
000760,42.098
000761,23.86
000762,92.496
000766,23.04
000767,154.938
000768,111.131
000776,23.192
000777,101.052
000778,85.7
000779,22.1
000780,64.951
000782,23.051
000783,16.792
000785,59.706
000786,59.267
000787,20.539
000788,13.671
000789,28.636
000790,73.415
000791,28.441
000792,232.917
000793,141.407
000795,21.655
000796,30.53
000797,20.236
000798,19.536
000799,47.674
000800,40.933
000801,42.081
000802,35.886
000803,28.035
000805,1.893
000806,60.762
000807,123.29
000809,19.966
000810,32.352
000811,65.768
000812,30.682
000813,21.214
000815,32.899
000816,36.768
000818,11.94
000819,177.33
000820,23.733
000821,19.519
000822,34.746
000823,28.886
000825,105.041
000826,37.606
000828,27.225
000829,299.104
000830,39.252
000831,73.49
000833,15.057
000835,72.389
000836,29.303
000837,46.943
000838,86.84
000839,174.602
000848,94.05
000850,94.505
000851,20.027
000852,69.241
000856,13.48
000858,519.853
000859,22.139
000860,34.578
000861,35.928
000862,32.062
000863,18.798
000868,20.088
000869,194.803
000875,11.575
000876,133.015
000877,23.44
000878,202.988
000880,49.915
000881,57.293
000882,24.752
000883,16.255
000885,15.75
000886,20.028
000887,94.975
000888,47.199
000889,26.94
000890,26.521
000892,13.255
000893,10.959
000895,243.832
000897,75.911
000898,57.648
000899,23.64
000900,65.575
000901,41.073
000902,9.835
