ticker,close_s
000001,422.003
000002,467.91
000004,23.321
000005,25.42
000006,130.997
000007,19.572
000008,12.738
000009,13.838
000010,14.461
000011,12.651
000012,109.869
000014,42.202
000016,22.582
000017,5.824
000018,9.499
000019,14.36
000020,6.325
000021,70.304
000022,52.891
000023,11.777
000024,85.99
000025,6.989
000026,26.646
000027,51.197
000028,27.148
000029,10.539
000030,4.111
000031,49.217
000032,12.304
000033,6.437
000034,4.588
000035,3.794
000036,23.934
000037,24.943
000038,7.384
000039,305.517
000040,13.551
000042,89.474
000043,21.396
000045,12.23
000046,129.507
000048,13.774
000049,19.491
000050,44.804
000055,14.486
000056,7.124
000058,13.812
000059,5.56
000060,124.796
000061,84.66
000062,35.81
000063,156.568
000065,19.325
000066,24.901
000068,7.147
000069,169.702
000070,5.445
000078,19.604
000088,34.424
000089,40.807
000090,19.669
000096,9.651
000099,14.481
000100,3.064
000150,8.817
000151,8.341
000153,17.908
000155,6.512
000156,1.259
000157,108.633
000158,6.327
000159,5.388
000301,6.143
000400,35.373
000401,19.962
000402,195.175
000403,6.072
000404,7.481
000407,22.36
000408,9.421
000409,4.599
000410,36.141
000411,6.73
000413,4.262
000415,23.77
000416,24.696
000417,25.556
000418,7.822
000419,40.636
000420,8.591
000421,25.363
000422,42.207
000423,82.94
000425,43.623
000426,22.62
000428,42.493
000429,11.278
000430,13.329
000488,20.897
000498,5.387
000501,29.291
000502,13.286
000503,68.15
000504,15.256
000505,14.074
000506,3.452
000507,12.959
000509,6.077
000510,28.252
000511,23.413
000513,15.62
000514,13.811
000515,15.966
000516,25.206
000517,7.255
000518,19.385
000519,22.404
000520,21.596
000521,9.952
000522,13.633
000523,10.31
000524,15.099
000525,49.781
000526,10.37
000527,106.122
000528,64.248
000529,2.661
000530,21.087
000531,38.574
000532,11.664
000533,9.693
000534,15.292
000536,5.723
000537,37.353
000538,211.31
000539,62.755
000540,17.536
000541,51.184
000543,10.966
000544,7.126
000545,4.045
000546,4.737
000547,15.218
000548,16.465
000549,110.323
000550,22.802
000551,27.368
000552,6.839
000553,9.577
000554,25.371
000555,4.815
000557,15.028
000558,8.016
000559,51.435
000560,9.606
000561,5.084
000562,48.08
000563,24.878
000564,12.703
000565,12.598
000566,8.7
000567,12.666
000568,355.526
000569,5.828
000570,12.937
000571,29.334
000572,15.075
000573,20.669
000576,17.626
000578,13.181
000581,18.744
000582,14.574
000584,8.803
000585,3.337
000586,11.012
000587,5.454
000589,13.457
000590,14.365
000591,15.181
000592,1.308
000593,20.352
000594,38.353
000595,9.399
000596,10.992
000597,7.765
000598,24.01
000599,12.934
000600,25.051
000601,28.895
000602,26.382
000603,9.234
000605,10.549
000606,15.518
000607,9.868
000608,54.581
000609,24.568
000610,11.767
000611,13.466
000612,41.079
000613,2.915
000615,15.034
000616,58.637
000617,52.051
000619,62.338
000620,2.383
000622,2.938
000623,159.182
000625,22.006
000626,25.377
000627,41.098
000628,10.777
000629,12.735
000630,35.843
000631,3.476
000632,20.409
000633,22.559
000635,18.426
000636,58.841
000637,91.498
000638,6.166
000639,10.141
000650,5.487
000651,204.01
000652,104.208
000655,22.142
000656,8.052
000657,30.671
000659,29.942
000661,16.819
000662,28.554
000663,19.722
000665,16.522
000666,5.153
000667,27.916
000668,26.089
000669,6.638
000670,7.469
000671,14.209
000672,11.735
000673,12.303
000676,35.431
000677,34.704
000678,12.109
000679,12.463
000680,21.345
000681,17.039
000682,43.715
000683,11.502
000685,22.42
000686,22.901
000687,6.493
000688,5.412
000690,113.954
000691,5.616
000692,15.647
000693,4.888
000695,17.988
000697,16.623
000698,13.022
000700,24.366
000701,9.94
000702,8.218
000703,6.76
000705,10.627
000707,12.334
000708,9.281
000709,30.346
000710,10.283
000711,10.828
000712,12.767
000713,12.87
000715,23.76
000716,6.457
000717,16.797
000718,14.799
000719,8.41
000720,19.609
000721,10.885
000722,11.661
000723,12.211
000725,9.802
000726,20.586
000727,9.309
000728,10.804
000729,36.257
000731,46.847
000732,2.573
000733,10.348
000735,12.202
000736,7.145
000737,10.07
000738,5.34
000739,27.193
000748,14.758
000750,7.448
000751,19.237
000752,25.686
000753,13.745
000755,16.721
000756,4.53
000757,5.989
000758,44.75
000759,33.223
000760,17.611
000761,8.731
000762,40.981
000766,7.97
000767,52.209
000768,42.64
000776,23.192
000777,28.271
000778,28.377
000779,5.655
000780,16.414
000782,8.499
000783,13.145
000785,20.497
000786,21.409
000788,6.555
000789,7.556
000790,47.064
000791,6.943
000792,111.73
000793,112.976
000795,5.558
000796,14.146
000797,7.688
000798,6.438
000799,18.418
000800,8.834
000801,21.023
000802,10.872
000803,12.62
000805,1.893
000806,19.326
000807,28.049
000809,5.493
000810,14.422
000811,31.152
000812,9.962
000813,6.802
000815,13.833
000816,11.187
000818,5.403
000819,60.667
000820,4.966
000821,6.376
000822,10.443
000823,13.288
000825,39.404
000826,12.77
000828,8.775
000829,94.751
000830,17.658
000831,13.383
000833,6.461
000835,17.835
000836,7.051
000837,23.712
000838,18.733
000839,104.224
000848,51.516
000850,26.608
000851,14.754
000852,21.541
000856,4.569
000858,237.602
000859,7.747
000860,16.589
000861,14.711
000862,6.31
000863,7.009
000868,7.001
000869,140.658
000875,4.196
000876,49.533
000877,11.1
000878,31.375
000880,8.697
000881,15.507
000882,12.745
000883,6.069
000885,4.1
000886,7.102
000887,13.321
000888,27.009
000889,7.966
000890,10.493
000892,5.72
000893,4.987
000895,94.934
000897,23.84
000898,16.577
000899,9.123
000900,24.999
000901,16.23
000902,4.242
000903,17.824
000905,18.132
000906,12.269
000908,14.654
000909,5.232
000910,16.44
000911,15.843
000912,16.975
000913,9.027
000915,7.642
000916,5.679
000917,22.365
000918,6.705
000919,13.105
000920,9.695
000921,2.589
000922,8.238
000923,5.438
000925,4.393
000926,21.093
000927,8.208
000928,5.448
000929,10.606
000930,31.646
000931,4.915
000932,5.932
000933,37.859
000935,17.24
000936,16.609
000937,14.085
000938,19.266
000939,28.298
000948,7.985
000949,12.404
000950,7.061
000951,32.0
000952,7.063
000953,7.988
000955,5.186
000957,6.361
000958,6.04
000959,6.751
000960,19.104
000961,4.286
000962,20.547
000963,15.16
000965,9.726
000966,6.697
000967,5.235
000968,6.59
000969,35.435
000970,68.935
000971,5.051
000972,23.77
000973,5.842
000975,12.593
000976,8.636
000977,7.009
000978,24.137
000979,5.12
