trade_day,group1,group2,group3,group4,group5,Benchmark
20080131,1.064278402168253,1.0640510781298222,1.0422962510920677,1.0676019914378396,1.0689767188677017,1.011719545554596
20080229,0.8516281838644221,0.8051617402831716,0.8227006874033808,0.8679590680245657,0.8579741219445087,0.8203898319648014
20080331,0.8346492350281999,0.8072857007636305,0.8301772212119698,0.8676468610084336,0.8632764065442499,0.8568777904774932
20080430,0.8202581184686761,0.7486904298169839,0.7852180914543623,0.8298635148190594,0.8155858458715788,0.7816053195382825
20080530,0.6271414960861396,0.5694037832693566,0.5887028183543132,0.6496508011489184,0.6135884856160772,0.604237381127742
20080630,0.6723426412319745,0.6119532403010816,0.6192941403364368,0.6836133007818856,0.6729129214931122,0.6071356144196143
20080731,0.5328429110154322,0.48547180023573516,0.465289667596647,0.5433503882098524,0.5335374784783788,0.5176260675209792
20080829,0.49961421922001953,0.4504888751588669,0.45939446627318525,0.5108212076572238,0.5134330167228636,0.48559789507447515
20080926,0.3339994430778604,0.33918400615734134,0.32514547783406866,0.40650634903284766,0.36149387552892376,0.36006831441686554
20081031,0.3862775655963964,0.391674900621002,0.38208663767342005,0.4722388385873009,0.42508958865251395,0.39605306985259503
20081128,0.3935399525236301,0.4134489474223056,0.40496487833906103,0.49936110611025586,0.43936453771483835,0.39341217353212415
20081231,0.4679928770487551,0.4739560344475419,0.45798088597690967,0.5942817660024085,0.5403564907784145,0.43993627392947066
20090123,0.4987679855372669,0.5198969891792176,0.4947258576657477,0.6414364750709068,0.5708303326427736,0.463269097206065
20090227,0.6008527678345814,0.6237071985535925,0.6049372907072975,0.7676714289606482,0.704486501057183,0.5427643617945715
20090331,0.6430623599118008,0.6514737806614624,0.6357181006035892,0.8087115009122016,0.722617389750418,0.5676836274600408
20090430,0.6560940506582905,0.7008514609590131,0.6802003699284144,0.8748735125695343,0.7659736262617973,0.5972884171741802
20090527,0.6890559880270596,0.7342018934696651,0.7531294022466254,0.9070939773614844,0.792072357399976,0.6853244988908971
20090630,0.7730793289663818,0.8843685739324136,0.9004208795669404,1.084951930473213,0.9116484683674926,0.8082895835231617
20090731,0.6467693326519375,0.7593092295905436,0.7256161125563251,0.9191781790311282,0.7755687221374963,0.6125596025106912
20090831,0.6876411748199419,0.7985856456966974,0.7609400461086895,0.9483110008780251,0.8322488175039777,0.6503342458803901
20090930,0.7610629729664327,0.8771242706886067,0.857809867683976,1.0446491888773384,0.9308534427820322,0.7099756060134176
20091030,0.8776611816054353,0.9875685830947241,0.9502800465687676,1.213281817922924,1.0536634035464305,0.7600355466982196
20091130,0.9013526693617229,1.0022531749851886,0.963485062823586,1.232237722934053,1.0768588666656629,0.7738904047505833
20091231,0.8893565970056994,0.941042117568085,0.9194531041659815,1.1988931228421984,1.0287192510230647,0.6934798516405828
20100129,0.9297850951202541,0.9889049232578534,0.964175277272011,1.2752111096386656,1.078237988819297,0.7102556682850688
20100226,0.9458537750374351,1.0158189837642302,1.0004316830253572,1.3006337301531103,1.114370310448,0.7240945104115422
20100331,0.892648178653692,0.9602731771403377,0.9404826801541626,1.1971819591208432,1.0345903995492507,0.6638741962007194
20100430,0.8327970852653487,0.8813732487361418,0.8690590242968337,1.1054529336696937,0.9676993684179743,0.6002214959264359
20100531,0.7673421965903893,0.8032525990599965,0.7888306033678025,1.0013028450794375,0.8876193962089358,0.5547289077290045
20100630,0.8853228686005832,0.9444521332973863,0.9261148868215665,1.1323511236188697,1.0146952462953638,0.6209084449596474
20100730,0.9561497412226523,1.014743525300138,1.0292156590803025,1.232293058297988,1.118897444503335,0.6283411331613857
20100831,0.9673133702592465,1.025601542672537,1.0083704311745942,1.2674271047742307,1.1253258513453939,0.6353504814841827
20100930,1.069501670250492,1.119392980065823,1.1275562565757427,1.4024360055957634,1.233778682460562,0.7315345572819327
20101029,1.0648150316798566,1.132385496682022,1.091791878002144,1.4127039446255165,1.2554479078949032,0.6789421524235665
20101130,1.0708738064851728,1.116470091108807,1.0700816355663778,1.3600213438683693,1.2568635861078916,0.6770540046199451
20101231,0.9835713752477834,1.0444231471087768,1.0177405923451346,1.2725856900203951,1.1576910733268202,0.6658530287739094
20110131,1.0849637099866325,1.1597438047421917,1.1099934180548383,1.3847106232991409,1.2728550851958937,0.7011423900219915
20110228,1.0569932645992826,1.1112616261568624,1.086529529648981,1.3355027563538415,1.2330778039057104,0.6976208342089787
20110331,1.0088996704894315,1.0637109325364098,1.0554006787152814,1.295584556585846,1.1892043612042984,0.6910056075219444
20110429,0.9170057310256455,0.9893767036874461,0.9861736565121996,1.1910992475106172,1.0887362387841788,0.6496310601612283
20110531,0.9645942631901625,1.0200058340314406,1.035161940022015,1.238095923189102,1.123014461130941,0.6588365382138908
20110630,0.9912418914369187,1.0495277152872546,1.05599429721558,1.2591923730591923,1.1477743360927861,0.6432513108710693
20110729,0.9554754575718405,1.0130905542546622,1.025421820513441,1.2265931645246442,1.1334465691624862,0.6161318032785466
20110831,0.8349280910872131,0.880201991247189,0.8962897499310162,1.0944381760181496,0.978760746161061,0.5586854907182298
20110930,0.8628194023366439,0.8973110812050966,0.9396228128176894,1.1325124304659682,1.034934082337527,0.5833491508637454
20111031,0.8325244946801033,0.8614964619399975,0.8910451895081863,1.072957231575209,0.9988715298590042,0.5457361817729672
20111130,0.7186544966344569,0.7572806318089551,0.7664773140446898,0.9379439887027916,0.8598501584881277,0.5076922977031647
20111230,0.7019657068547691,0.7509627190183041,0.7642618491270888,0.9332703359228652,0.8372360362873491,0.5333433180366812
